 Molloy , Samuel Beckett
 The End of the Affair , Graham Greene
 The Abbot C , Georges Bataille
 The Labyrinth of Solitude , Octavio Paz
 The Third Man , Graham Greene
 The 13 Clocks , James Thurber
 Gormenghast , Mervyn Peake
 The Grass is Singing , Doris Lessing
 Barabbas , Par Lagerkvist
" I, Robot ", Isaac Asimov
 The Guiltless , Hermann Broch
 The Moon and the Bonfires , Cesare Pavese
 The Garden Where the Brass Band Played , Simon Vestdijk
 Love in a Cold Climate , Nancy Mitford
 The Case of Comrade Tulayev , Victor Serge
 The Heat of the Day , Elizabeth Bowen
 Kingdom of This World , Alejo Carpentier
 The Man With the Golden Arm , Nelson Algren
 Nineteen Eighty-Four , George Orwell
 All About H, Hatterr  GV
 Disobedience , Alberto Moravia
 Death Sentence , Maurice Blanchot
 The Heart of the Matter , Graham Greene
" Cry, the Beloved Country ", Alan Paton
 Doctor Faustus , Thomas Mann
 The Victim , Saul Bellow
 Exercises in Style , Raymond Queneau
 If This Is a Man , Primo Levi
" The Way for the Gas, Ladies and Gentlemen ", Tadeusz Borowski
 Under the Volcano , Malcolm Lowry
 In The Heart of the Seas , Shmuel Yosef Agnon
 The Path to the Nest of Spiders , Italo Calvino
 The Plague , Albert Camus
 Back , Henry Green
 Titus Groan , Mervyn Peake
 Ashes and Diamonds , Jerzy Andrzejewski
 The Bridge on the Drina , Ivo Andrić
 Journey to the Alcarria , Camilo Jose Cela
